street_id,street_prefix,street_name,terittory_id
_ul10,UL.,RODZYNKOWA,18737
_ul11,UL.,DAKTYLOWA,03554
_ul12,SKWER,SKACZĄCEJ GWIAZDY,47132
_ul13,UL.,OPALOWA,15065
_ul14,UL.,KWIATOWA,10562
_ul15,UL.,LAWENDOWA,10718
_ul16,UL.,ŁOMNICKA,11655
_ul17,UL.,NAGIETKOWA,13930
_ul18,UL.,PRZYLASZCZKOWA,17949
_ul19,UL.,DOŁĘGI-MOSTOWICZA,04064
_ul20,UL.,FILIPOWICZA,05007
_ul21,UL.,GOMBROWICZA,05787
_ul22,UL.,DRZEWIECKIEGO,04307
_ul23,UL.,GIŻYCKIEGO,05543
_ul24,UL.,GROCHOWIAKA,06135
_ul25,UL.,BOŁTUCIA,01784
_ul26,UL.,CIEŚLIKOWSKIEGO,03074
_ul27,UL.,APTEKARSKA,00378
_ul28,UL.,ARABSKA,00380
_ul29,UL.,AUGUSTOWSKA,00493
_ul30,BULW.,ZIENKIEWICZA,47129
_ul31,UL.,BALONOWA,00642
_ul32,UL.,BAZALTOWA,00909
_ul33,UL.,BETONOWA,01114
_ul34,UL.,NAŁKOWSKIEJ,13967
_ul35,UL.,NIKLIBORCA,43382
_ul36,UL.,SUSKIEGO,43383
_ul37,RONDO,27 WOŁYŃSKIEJ DYWIZJI PIECHOTY ARMII KRAJOWEJ,43361
_ul38,UL.,LUBAWSKA,11297
_ul39,UL.,GARDY,05340
_ul40,UL.,HALSKIEJ,43557
_ul41,UL.,CHWALIMIERSKA,02935
_ul42,UL.,GŁĘBOWICKA,39037
_ul43,UL.,MROZOWSKA,13439
_ul44,UL.,WOJNOWICKA,24619
_ul45,UL.,ARACHIDOWA,35007
_ul46,UL.,MIĘDZYGÓRSKA,36492
_ul47,UL.,PAROWOZOWA,15722
_ul48,UL.,NASTAWNICZA,14031
_ul49,UL.,ROZJAZDOWA,18947
_ul50,UL.,SZKUTNICZA,21983
_ul51,UL.,JARECKIEGO,43551
_ul52,UL.,WOJANOWSKA,43556
_ul53,UL.,RESZELSKA,18622
_ul54,UL.,RYCHŁA,19199
_ul55,UL.,ŻUBRZA,26551
_ul56,AL.,ŚLĄSKA,42738
_ul57,UL.,RYDZA-ŚMIGŁEGO,42735
_ul58,UL.,WITTEK,39836
_ul59,UL.,WANILIOWA,23615
_ul60,UL.,CYNAMONOWA,03182
_ul61,UL.,STRZEBLOWSKA,21355
_ul62,UL.,PERŁOWA,15953
_ul63,UL.,TOLKMICKA,22835
_ul64,UL.,KUBALI,38666
_ul65,RONDO,PILECKIEGO,41511
_ul66,UL.,OLBRACHTOWSKA,42737
_ul67,UL.,CZORSZTYŃSKA,03471
_ul68,BULW.,DEDALA,03718
_ul69,UL.,DESZCZOWA,03782
_ul70,UL.,DIAMENTOWA,03826
_ul71,UL.,DOKERSKA,04008
_ul72,UL.,DRUKARSKA,04279
_ul73,UL.,JANA STYKI I WOJCIECHA KOSSAKA,42406
_ul74,UL.,FRANKOWSKIEGO,42734
_ul75,RONDO,BEDNARZA,42845
_ul76,UL.,DZIELNICOWA,04628
_ul77,UL.,DŹWIRZYŃSKA,04724
_ul78,UL.,FILIPIŃSKA,05005
_ul79,UL.,CANALETTA,29476
_ul80,UL.,DYGATA,04495
_ul81,UL.,SZAŁWIOWA,21743
_ul82,UL.,ANCZYCA,00277
_ul83,UL.,BAJANA,00600
_ul84,UL.,PIŁSUDSKIEGO,16274
_ul85,UL.,VIVALDIEGO,36752
_ul86,UL.,BOGUSZEWSKIEJ,01612
_ul87,UL.,CABAJA,02540
_ul88,UL.,SOLSKIEGO,20551
_ul89,UL.,STEFKI,21126
_ul90,UL.,FROMBORSKA,05188
_ul91,UL.,MACHNICKA,42167
_ul92,UL.,RASZOWSKA,18465
_ul93,UL.,STRADOMSKA,21256
_ul94,UL.,JAŚMINOWA,07380
_ul95,UL.,DOBRZYKOWICKA,42170
_ul96,UL.,PODOLSKA,16834
_ul97,UL.,TYNIECKA,23257
_ul98,UL.,SIEROSZOWICKA,42168
_ul99,RONDO,SZOMAŃSKIEGO,43730
_ul100,UL.,ASTROWA,00475
_ul101,UL.,PLATÓWNY,43807
